episode_key,sequence_id,athlete_name,episode_id,path_signature,step_index,step_hidden_state,step_observed_feature,confidence
48::Лукашин И.П.::4::31,48::Лукашин И.П.,Лукашин И.П.,4,S1->S2->S3->O0,4,O,O0,1.0
48::Лукашин И.П.::5::32,48::Лукашин И.П.,Лукашин И.П.,5,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Лукашин И.П.::5::32,48::Лукашин И.П.,Лукашин И.П.,5,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=0.0000;hooks=0.0000;posts=0.0000,1.0
48::Лукашин И.П.::5::32,48::Лукашин И.П.,Лукашин И.П.,5,S1->S2->S3->O0,3,S3,x_s3_vup=0.0000,1.0
48::Лукашин И.П.::5::32,48::Лукашин И.П.,Лукашин И.П.,5,S1->S2->S3->O0,4,O,O0,1.0
48::Лукашин И.П.::6::33,48::Лукашин И.П.,Лукашин И.П.,6,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Лукашин И.П.::6::33,48::Лукашин И.П.,Лукашин И.П.,6,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=0.0000;hooks=0.0000;posts=0.0000,1.0
48::Лукашин И.П.::6::33,48::Лукашин И.П.,Лукашин И.П.,6,S1->S2->S3->O0,3,S3,x_s3_vup=0.0000,1.0
48::Лукашин И.П.::6::33,48::Лукашин И.П.,Лукашин И.П.,6,S1->S2->S3->O0,4,O,O0,1.0
48::Лукашин И.П.::7::34,48::Лукашин И.П.,Лукашин И.П.,7,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Лукашин И.П.::7::34,48::Лукашин И.П.,Лукашин И.П.,7,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=0.0000;hooks=0.0000;posts=0.0000,1.0
48::Лукашин И.П.::7::34,48::Лукашин И.П.,Лукашин И.П.,7,S1->S2->S3->O0,3,S3,x_s3_vup=0.0000,1.0
48::Лукашин И.П.::7::34,48::Лукашин И.П.,Лукашин И.П.,7,S1->S2->S3->O0,4,O,O0,1.0
48::Лукашин И.П.::8::35,48::Лукашин И.П.,Лукашин И.П.,8,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Лукашин И.П.::8::35,48::Лукашин И.П.,Лукашин И.П.,8,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=3.0000;hooks=0.0000;posts=0.0000,1.0
48::Лукашин И.П.::8::35,48::Лукашин И.П.,Лукашин И.П.,8,S1->S2->S3->O0,3,S3,x_s3_vup=0.0000,1.0
